Year,No,Position,Player,Words,OneName,DOB,Age,Caps,Club,ClubCountry
1962,8,MF,Didi,1,TRUE,8-Oct-29,32,,Brazil Botafogo,Brazil
1962,9,FW,Coutinho,1,TRUE,11-Jun-43,18,,Brazil Santos,Brazil
1962,10,FW,Pelé,1,TRUE,23-Oct-40,21,,Brazil Santos,Brazil
1962,11,FW,Pepe,1,TRUE,25-Feb-35,27,,Brazil Santos,Brazil
1962,12,DF,Jair Marinho,2,FALSE,17-Jul-36,25,,Brazil Fluminense,Brazil
1962,13,DF,Bellini,1,TRUE,7-Jun-30,31,,Brazil São Paulo,Brazil
1962,14,DF,Jurandir,1,TRUE,12-Nov-40,21,,Brazil São Paulo,Brazil
1962,15,DF,Altair,1,TRUE,21-Jan-38,24,,Brazil Fluminense,Brazil
1962,16,MF,Zequinha,1,TRUE,18-Nov-34,27,,Brazil Palmeiras,Brazil
1962,17,MF,Mengálvio,1,TRUE,17-Dec-39,22,,Brazil Santos,Brazil
1962,18,FW,Jair da Costa,3,FALSE,9-Jul-40,21,,Brazil Portuguesa,Brazil
1962,19,FW,Vavá,1,TRUE,12-Nov-34,27,,Brazil Palmeiras,Brazil
1962,20,FW,Amarildo,1,TRUE,29-Jun-39,22,,Brazil Botafogo,Brazil
1962,21,FW,Zagallo,1,TRUE,9-Aug-31,30,,Brazil Botafogo,Brazil
1962,22,GK,Castilho,1,TRUE,27-Nov-27,34,,Brazil Fluminense,Brazil
1966,1,GK,Gilmar,1,TRUE,22-Aug-30,35,,Brazil Santos,Brazil
1966,2,DF,Djalma Santos,2,FALSE,27-Feb-29,37,,Brazil Palmeiras,Brazil
1966,3,DF,Fidélis,1,TRUE,13-Mar-44,22,,Brazil Bangu,Brazil
1966,4,DF,Bellini,1,TRUE,7-Jun-30,36,,Brazil São Paulo,Brazil
1966,5,DF,Brito,1,TRUE,9-Aug-39,26,,Brazil Vasco da Gama,Brazil
1966,6,DF,Altair,1,TRUE,21-Jan-38,28,,Brazil Fluminense,Brazil
1966,7,DF,Orlando,1,TRUE,20-Sep-35,30,,Brazil Santos,Brazil
1966,8,DF,Paulo Henrique,2,FALSE,5-Jan-43,23,,Brazil Flamengo,Brazil
1966,9,DF,Rildo,1,TRUE,23-Jan-42,24,,Brazil Botafogo,Brazil
1966,10,FW,Pelé,1,TRUE,23-Oct-40,25,,Brazil Santos,Brazil
1966,11,MF,Gérson,1,TRUE,11-Jan-41,25,,Brazil Botafogo,Brazil
1966,12,GK,Manga,1,TRUE,26-Apr-37,29,,Brazil Botafogo,Brazil
1966,13,MF,Denílson,1,TRUE,28-Mar-43,23,,Brazil Fluminense,Brazil
1966,14,MF,Lima,1,TRUE,18-Jan-42,24,,Brazil Santos,Brazil
1966,15,MF,Zito,1,TRUE,18-Aug-32,33,,Brazil Santos,Brazil
1966,16,FW,Garrincha,1,TRUE,28-Oct-33,32,,Brazil Corinthians,Brazil
1966,17,MF,Jairzinho,1,TRUE,25-Dec-44,21,,Brazil Botafogo,Brazil
1966,18,FW,Alcindo,1,TRUE,16-Dec-45,20,,Brazil Grêmio,Brazil
